0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.47 1.53 1.89 2.01 2.02 2.03 2.03 2.04 2.05 2.05 2.06 2.06 2.06 2.06 2.05 2.05 2.03 2.02 2.00 1.98 1.95 1.92 1.89 1.85 1.82 1.77 1.73 1.68 1.63 1.57 1.51 1.46 1.40 1.34 1.27 1.21 1.15 1.09 1.03 0.97 0.91 0.86 0.80 0.75 0.70 0.66 0.61 0.57 0.54 0.50 0.47 0.44 0.42 0.40 0.38 0.36 0.34 0.33 0.32 0.32 0.31 0.31 0.32 0.32 0.32 0.27 0.09 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 1.03 2.46 2.55 1.79 1.60 1.56 1.55 1.56 1.56 1.57 1.58 1.58 1.58 1.59 1.59 1.58 1.58 1.57 1.57 1.55 1.54 1.52 1.50 1.48 1.45 1.43 1.40 1.36 1.33 1.29 1.25 1.21 1.16 1.12 1.07 1.03 0.98 0.93 0.88 0.84 0.79 0.75 0.70 0.66 0.62 0.58 0.54 0.51 0.47 0.44 0.41 0.39 0.36 0.34 0.32 0.30 0.29 0.28 0.26 0.26 0.25 0.24 0.24 0.24 0.24 0.25 0.27 0.32 0.48 0.50 0.23 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.06 2.27 2.40 1.53 1.28 1.16 1.11 1.09 1.09 1.09 1.09 1.10 1.10 1.11 1.11 1.11 1.11 1.11 1.11 1.10 1.09 1.09 1.08 1.06 1.05 1.04 1.02 1.00 0.98 0.95 0.93 0.90 0.87 0.84 0.81 0.78 0.75 0.72 0.68 0.65 0.62 0.59 0.55 0.52 0.49 0.46 0.43 0.40 0.38 0.35 0.33 0.31 0.29 0.27 0.25 0.24 0.23 0.21 0.20 0.19 0.19 0.18 0.17 0.17 0.17 0.17 0.17 0.18 0.19 0.21 0.24 0.31 0.53 0.56 0.02 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.06 2.71 1.89 1.33 1.12 1.00 0.97 0.91 0.88 0.88 0.89 0.89 0.89 0.90 0.90 0.90 0.90 0.90 0.90 0.90 0.90 0.89 0.89 0.88 0.87 0.86 0.84 0.83 0.81 0.80 0.78 0.76 0.73 0.71 0.69 0.66 0.64 0.61 0.58 0.56 0.53 0.50 0.48 0.45 0.42 0.40 0.38 0.35 0.33 0.31 0.29 0.27 0.25 0.24 0.22 0.21 0.20 0.18 0.17 0.17 0.16 0.15 0.15 0.14 0.14 0.14 0.14 0.14 0.14 0.15 0.17 0.19 0.22 0.29 0.47 0.76 0.02 0.00 0.00 0.00 
0.00 0.00 0.00 2.41 1.94 1.30 1.07 0.96 0.87 0.85 0.82 0.81 0.81 0.81 0.81 0.82 0.82 0.82 0.83 0.83 0.83 0.83 0.82 0.82 0.82 0.81 0.80 0.79 0.78 0.77 0.76 0.74 0.73 0.71 0.69 0.67 0.65 0.63 0.61 0.58 0.56 0.54 0.51 0.49 0.46 0.44 0.41 0.39 0.37 0.34 0.32 0.30 0.28 0.26 0.25 0.23 0.22 0.20 0.19 0.18 0.17 0.16 0.15 0.14 0.14 0.13 0.13 0.13 0.13 0.13 0.13 0.13 0.14 0.15 0.16 0.20 0.24 0.32 0.55 0.80 0.00 0.00 0.00 
0.00 0.00 1.17 2.59 1.38 1.08 0.94 0.86 0.79 0.76 0.76 0.76 0.76 0.77 0.77 0.77 0.78 0.78 0.78 0.78 0.78 0.78 0.78 0.78 0.77 0.77 0.76 0.75 0.74 0.73 0.72 0.70 0.69 0.67 0.65 0.64 0.62 0.60 0.57 0.55 0.53 0.51 0.48 0.46 0.44 0.41 0.39 0.37 0.35 0.32 0.30 0.29 0.27 0.25 0.23 0.22 0.20 0.19 0.18 0.17 0.16 0.15 0.14 0.14 0.13 0.13 0.12 0.12 0.12 0.12 0.12 0.12 0.13 0.11 0.15 0.18 0.20 0.24 0.35 0.84 0.41 0.00 0.00 
0.00 0.00 2.84 1.67 1.18 0.98 0.87 0.78 0.76 0.72 0.71 0.71 0.71 0.71 0.72 0.72 0.72 0.73 0.73 0.73 0.73 0.73 0.73 0.72 0.72 0.71 0.71 0.70 0.69 0.68 0.67 0.66 0.64 0.63 0.61 0.59 0.57 0.55 0.53 0.51 0.49 0.47 0.45 0.43 0.41 0.38 0.36 0.34 0.32 0.30 0.28 0.27 0.25 0.23 0.22 0.20 0.19 0.18 0.17 0.16 0.15 0.14 0.13 0.13 0.12 0.12 0.12 0.11 0.11 0.11 0.11 0.12 0.12 0.13 0.14 0.15 0.19 0.24 0.32 0.54 1.07 0.00 0.00 
0.00 0.57 2.97 1.40 1.06 0.90 0.80 0.77 0.72 0.67 0.55 0.49 0.49 0.49 0.49 0.49 0.49 0.49 0.50 0.50 0.50 0.50 0.49 0.49 0.49 0.49 0.48 0.48 0.47 0.46 0.45 0.45 0.44 0.43 0.41 0.40 0.39 0.38 0.36 0.35 0.34 0.32 0.31 0.29 0.28 0.26 0.25 0.23 0.22 0.21 0.19 0.18 0.17 0.16 0.15 0.14 0.13 0.12 0.11 0.11 0.10 0.10 0.09 0.09 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.09 0.12 0.14 0.10 0.18 0.18 0.23 0.39 0.95 0.00 0.00 
0.00 1.93 2.10 1.28 1.03 0.88 0.77 0.73 0.68 0.42 0.33 0.33 0.33 0.33 0.33 0.33 0.33 0.33 0.33 0.33 0.33 0.33 0.33 0.33 0.33 0.33 0.32 0.32 0.32 0.31 0.31 0.30 0.29 0.29 0.28 0.27 0.26 0.25 0.25 0.24 0.23 0.22 0.21 0.20 0.19 0.18 0.17 0.16 0.15 0.14 0.13 0.12 0.11 0.11 0.10 0.09 0.09 0.08 0.08 0.07 0.07 0.06 0.06 0.06 0.06 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.06 0.08 0.13 0.15 0.14 0.14 0.28 0.30 0.69 0.00 0.00 
