0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.11 0.33 0.39 0.40 0.40 0.40 0.40 0.40 0.41 0.43 0.44 0.46 0.48 0.51 0.53 0.56 0.59 0.63 0.66 0.70 0.74 0.79 0.83 0.88 0.92 0.97 1.02 1.08 1.13 1.18 1.23 1.28 1.33 1.38 1.43 1.48 1.52 1.57 1.61 1.65 1.68 1.72 1.75 1.78 1.80 1.83 1.85 1.86 1.88 1.89 1.90 1.90 1.91 1.91 1.90 1.90 1.90 1.89 1.88 1.88 1.87 1.86 1.86 1.85 1.74 1.42 0.43 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.26 0.59 0.58 0.39 0.33 0.31 0.31 0.31 0.31 0.31 0.32 0.33 0.34 0.35 0.37 0.39 0.41 0.43 0.46 0.48 0.51 0.54 0.57 0.60 0.64 0.67 0.71 0.75 0.79 0.83 0.87 0.91 0.95 0.99 1.02 1.06 1.10 1.14 1.17 1.20 1.24 1.27 1.29 1.32 1.35 1.37 1.39 1.40 1.42 1.43 1.44 1.45 1.46 1.46 1.47 1.47 1.47 1.46 1.46 1.46 1.45 1.45 1.44 1.44 1.43 1.44 1.48 1.66 2.37 2.29 0.97 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.02 0.62 0.61 0.36 0.29 0.25 0.23 0.22 0.21 0.21 0.21 0.22 0.22 0.23 0.24 0.25 0.26 0.27 0.29 0.30 0.32 0.34 0.36 0.38 0.40 0.42 0.45 0.47 0.50 0.52 0.55 0.58 0.61 0.63 0.66 0.69 0.72 0.74 0.77 0.79 0.82 0.84 0.86 0.89 0.91 0.92 0.94 0.96 0.97 0.98 0.99 1.00 1.01 1.02 1.02 1.02 1.03 1.03 1.03 1.02 1.02 1.02 1.02 1.01 1.01 1.01 1.00 1.00 1.02 1.08 1.19 1.43 2.26 2.17 0.05 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.02 0.81 0.52 0.34 0.27 0.23 0.21 0.19 0.18 0.17 0.17 0.17 0.18 0.18 0.19 0.19 0.20 0.21 0.22 0.23 0.25 0.26 0.27 0.29 0.31 0.33 0.34 0.36 0.38 0.41 0.43 0.45 0.47 0.49 0.52 0.54 0.56 0.58 0.61 0.63 0.65 0.67 0.69 0.70 0.72 0.74 0.75 0.77 0.78 0.79 0.80 0.81 0.82 0.82 0.83 0.83 0.83 0.84 0.84 0.84 0.83 0.83 0.83 0.83 0.82 0.82 0.82 0.82 0.82 0.83 0.90 0.94 1.03 1.25 1.81 2.63 0.05 0.00 0.00 0.00 
0.00 0.00 0.00 0.80 0.58 0.36 0.27 0.23 0.20 0.18 0.17 0.16 0.16 0.16 0.16 0.16 0.17 0.17 0.18 0.18 0.19 0.20 0.21 0.23 0.24 0.25 0.27 0.28 0.30 0.32 0.33 0.35 0.37 0.39 0.41 0.43 0.45 0.47 0.49 0.51 0.53 0.55 0.57 0.59 0.61 0.63 0.64 0.66 0.68 0.69 0.70 0.71 0.72 0.73 0.74 0.75 0.75 0.76 0.76 0.76 0.77 0.77 0.77 0.76 0.76 0.76 0.76 0.76 0.75 0.75 0.75 0.75 0.76 0.79 0.82 0.90 1.01 1.25 1.90 2.44 0.00 0.00 0.00 
0.00 0.00 0.43 0.87 0.41 0.30 0.24 0.20 0.18 0.16 0.16 0.15 0.15 0.15 0.15 0.15 0.16 0.16 0.17 0.17 0.18 0.19 0.20 0.21 0.23 0.24 0.25 0.27 0.28 0.30 0.32 0.33 0.35 0.37 0.39 0.41 0.43 0.45 0.47 0.49 0.51 0.52 0.54 0.56 0.58 0.59 0.61 0.62 0.64 0.65 0.66 0.67 0.68 0.69 0.70 0.71 0.71 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.71 0.71 0.71 0.71 0.71 0.71 0.59 0.74 0.81 0.87 0.93 1.24 2.60 1.08 0.00 0.00 
0.00 0.00 1.08 0.56 0.35 0.27 0.22 0.18 0.17 0.15 0.15 0.14 0.14 0.14 0.14 0.14 0.15 0.15 0.16 0.16 0.17 0.18 0.19 0.20 0.21 0.22 0.23 0.25 0.26 0.28 0.29 0.31 0.33 0.34 0.36 0.38 0.40 0.42 0.43 0.45 0.47 0.49 0.51 0.52 0.54 0.55 0.57 0.58 0.59 0.61 0.62 0.63 0.64 0.65 0.65 0.66 0.66 0.67 0.67 0.67 0.67 0.68 0.68 0.67 0.67 0.67 0.67 0.67 0.66 0.66 0.66 0.66 0.66 0.68 0.72 0.71 0.83 0.95 1.14 1.68 2.93 0.00 0.00 
0.00 0.24 1.14 0.47 0.32 0.24 0.20 0.18 0.16 0.14 0.11 0.10 0.10 0.10 0.10 0.10 0.10 0.10 0.11 0.11 0.12 0.12 0.13 0.14 0.14 0.15 0.16 0.17 0.18 0.19 0.20 0.21 0.22 0.23 0.25 0.26 0.27 0.28 0.30 0.31 0.32 0.33 0.34 0.36 0.37 0.38 0.39 0.40 0.41 0.41 0.42 0.43 0.43 0.44 0.44 0.45 0.45 0.45 0.46 0.46 0.46 0.46 0.46 0.46 0.46 0.46 0.45 0.45 0.45 0.45 0.45 0.45 0.51 0.64 0.68 0.45 0.77 0.72 0.82 1.24 2.68 0.00 0.00 
0.00 0.83 0.80 0.43 0.31 0.24 0.19 0.17 0.15 0.09 0.07 0.07 0.06 0.06 0.06 0.07 0.07 0.07 0.07 0.07 0.08 0.08 0.09 0.09 0.10 0.10 0.11 0.11 0.12 0.13 0.13 0.14 0.15 0.16 0.17 0.17 0.18 0.19 0.20 0.21 0.22 0.22 0.23 0.24 0.25 0.25 0.26 0.27 0.27 0.28 0.28 0.29 0.29 0.30 0.30 0.30 0.30 0.31 0.31 0.31 0.31 0.31 0.31 0.31 0.31 0.31 0.30 0.30 0.30 0.30 0.30 0.30 0.30 0.39 0.64 0.69 0.62 0.53 1.01 0.94 1.99 0.00 0.00 
